"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000008348",25036.8044441636,-0.0373961229191207,0.0281158132715651,-1.33007438048898,0.18349376567156,0.320048026697246
"ENSMUSG00000020908",134.85983773489,-0.115344389928348,0.0867259995236039,-1.32998628510422,0.18352279011783,0.320048026697246
"ENSMUSG00000022450",1781.31704718373,0.0606859248072122,0.0456309618295542,1.32992867943246,0.183541771075068,0.320048026697246
"ENSMUSG00000024857",0.578404102390206,0.736871423934101,0.554029306039641,1.33002246614257,0.183510869279283,0.320048026697246
"ENSMUSG00000031776",4367.49926918807,0.0181605574787664,0.0136521982812082,1.33022954286884,0.183442653190857,0.320048026697246
"ENSMUSG00000046793",520.586781956824,-0.0457906228182998,0.0344282155170843,-1.33003183959904,0.183507781029713,0.320048026697246
"ENSMUSG00000094822",4.6507203600162,0.248439204311276,0.186799669814634,1.32997667799846,0.183525955539527,0.320048026697246
"ENSMUSG00000107653",1.75625767447233,0.470930018589317,0.354099603939793,1.32993658662603,0.183539165584002,0.320048026697246
"ENSMUSG00000111619",157.240732235,0.0965173417614396,0.0725733245218211,1.32992862594326,0.183541788700334,0.320048026697246
"ENSMUSG00000046605",126.223433940819,0.0515959486536587,0.0388160926086229,1.32924117772217,0.183768413813585,0.320414620196377
"ENSMUSG00000036478",882.303397598061,0.0551842255945826,0.0415403090580973,1.32845004878041,0.184029474866964,0.320841184711877
"ENSMUSG00000025500",1.62909005551954,0.445111226545807,0.335111149945816,1.32824952741136,0.184095687606777,0.320928000448091
"ENSMUSG00000064201",7.74360542623066,0.219849365173963,0.165550938750756,1.32798621882148,0.184182659656286,0.321050986502072
"ENSMUSG00000003308",2128.97795325707,-0.0273757341114102,0.0206154993475063,-1.32792001056824,0.184204533335168,0.321060486997967
"ENSMUSG00000070709",284.162770466575,-0.0631223129783914,0.0475393306085604,-1.32779137127827,0.184247038286278,0.321105942003963
"ENSMUSG00000036019",466.514815033986,-0.0570486697257114,0.0429673552352736,-1.32772122960172,0.184270217534336,0.321117711051768
"ENSMUSG00000072663",39.0303028884038,0.176260341449436,0.132763896051205,1.3276225441701,0.184302833100397,0.321145920695219
"ENSMUSG00000071040",0.294781207323072,-0.881152222669525,0.66395041575621,-1.32713558386123,0.184463836210718,0.321397819437016
"ENSMUSG00000007038",1937.89795098709,0.0337578325778743,0.0254405490330512,1.32693019061883,0.184531776342611,0.321487540836085
"ENSMUSG00000040857",1254.88955198838,-0.0532574507825999,0.0401513641751174,-1.32641696930449,0.184701621031708,0.321754766489829
"ENSMUSG00000009621",491.860884670279,0.0489984026631972,0.0369438958585521,1.32629224732547,0.184742913803464,0.321798023874537
"ENSMUSG00000089789",14.8664291155059,0.154046780775459,0.11616736321278,1.32607624478226,0.184814443772078,0.321893938105877
"ENSMUSG00000021681",2048.02045660662,-0.0272024870040598,0.0205160109516829,-1.32591501672153,0.184867848342498,0.321929589100971
"ENSMUSG00000113069",168.5877491069,0.0623944377203349,0.0470564906380346,1.32594753400295,0.184857076522573,0.321929589100971
"ENSMUSG00000040729",473.029622688608,-0.0742397123587694,0.0559954633172841,-1.32581655656832,0.184900467525011,0.321957712625496
"ENSMUSG00000020697",777.234266229698,0.0466927940160319,0.0352261513641626,1.32551505650813,0.185000378940743,0.322102993223423
"ENSMUSG00000025156",4397.96515265712,-0.0289860573010902,0.0218697696689206,-1.3253938079779,0.185040569669047,0.322144277892974
"ENSMUSG00000003123",311.264581017711,0.0622583681585762,0.0469796767909579,1.32521916733491,0.185098469843596,0.322216383523817
"ENSMUSG00000016946",710.127579287794,0.0378463129534691,0.028560382639422,1.32513325998755,0.185126956392515,0.322237278115687
"ENSMUSG00000049728",521.321060252525,-0.0537491418847218,0.0405634135349406,-1.32506456436225,0.185149737933518,0.322248239571077
"ENSMUSG00000035504",321.405518881245,0.058484374077303,0.0441416937880999,1.32492365059788,0.185196475677409,0.322300890502775
"ENSMUSG00000029536",989.161342411895,-0.0243407981734249,0.0183724392153982,-1.32485392320822,0.185219605821463,0.322312450970605
"ENSMUSG00000080186",0.93988910817458,0.562409250668623,0.424592300335852,1.32458655096608,0.185308319017436,0.322438124474575
"ENSMUSG00000028948",710.529288353292,-0.0262434622936265,0.0198152466472644,-1.32440755145733,0.185367728003203,0.322512790560218
"ENSMUSG00000004843",2077.86939848681,-0.0345476735995134,0.0260950690120172,-1.32391577824928,0.185531017429643,0.322739442937542
"ENSMUSG00000062203",2737.69083175852,-0.0321441079619085,0.0242791028188339,-1.32394134172757,0.185522526657575,0.322739442937542
"ENSMUSG00000006335",492.007810283758,-0.0386835540513846,0.0292213613760296,-1.32381080927725,0.185565885322819,0.322771375760813
"ENSMUSG00000028141",2.48013150251048,-0.370066052553383,0.279675030011832,-1.32320018893974,0.185768813202439,0.32309559869168
"ENSMUSG00000031230",5.05411407031394,-0.295839698934768,0.223607611356012,-1.32303054060066,0.185825221666255,0.323164954928708
"ENSMUSG00000028076",19.3671704064256,0.171984974193924,0.130040761021287,1.32254666031808,0.185986182543987,0.323416107681231
"ENSMUSG00000040423",1532.71943882176,-0.0533961788795596,0.0403795078420429,-1.32235833800737,0.186048855075373,0.32343877882334
"ENSMUSG00000092511",3.22825876178337,0.727530302967942,0.550156379881885,1.32240637311911,0.186032867796456,0.32343877882334
"ENSMUSG00000113606",0.975336627276971,-1.22362674741624,0.925321955544128,-1.32237945947873,0.186041825199716,0.32343877882334
"ENSMUSG00000094133",0.493625359575819,0.762100690059373,0.576347906530899,1.32229280513317,0.186070667682295,0.323447935490057
"ENSMUSG00000031104",696.816267086129,-0.0568847747856612,0.0430266301296113,-1.32208296616082,0.186140525268331,0.323531320512357
"ENSMUSG00000043284",805.938175712797,-0.0398301355551851,0.03012757215917,-1.32204929573331,0.186151736309939,0.323531320512357
"ENSMUSG00000058402",569.815818274785,-0.0392087787523366,0.0296619525922128,-1.32185427208289,0.186216681989696,0.32358665921925
"ENSMUSG00000106089",1.18770654107894,0.48350778063231,0.365777035388615,1.32186478059951,0.186213182075758,0.32358665921925
"ENSMUSG00000014547",953.5779321747,0.041248132816049,0.0312120744680485,1.32154409852746,0.186320008737844,0.323737432300783
"ENSMUSG00000101135",0.562532710560319,0.603776101969328,0.456931907074354,1.32136997355949,0.186378032785963,0.323809470577034
"ENSMUSG00000001157",904.225972907476,-0.0259350252754414,0.0196326556418323,-1.3210146272917,0.186496487037165,0.32398647694744
"ENSMUSG00000022940",557.455025826101,0.0571930707889992,0.0433003682504717,1.32084490501709,0.186553083378766,0.324056000264039
"ENSMUSG00000031641",418.957213606169,0.0656529645619113,0.049726543359449,1.32028007833438,0.18674152437449,0.324354514437752
"ENSMUSG00000013822",1334.96899807146,0.0607806574343627,0.046047161795508,1.31996533693618,0.186846591350373,0.324425249629689
"ENSMUSG00000023791",270.545217714173,0.0694723090162262,0.052632643085864,1.3199471837827,0.186852652567791,0.324425249629689
"ENSMUSG00000025742",1306.01698404323,0.0325050958426909,0.0246295424611338,1.31976044191584,0.186915012869159,0.324425249629689
"ENSMUSG00000028453",359.375193492838,0.0485358876462559,0.0367753034743406,1.31979570692383,0.186903235347604,0.324425249629689
"ENSMUSG00000049090",904.633228721205,0.0407425374823945,0.0308697414297374,1.31982114508891,0.186894740055712,0.324425249629689
"ENSMUSG00000053797",0.517122102227946,0.722170095826651,0.547122026698714,1.31994337750239,0.186853923477935,0.324425249629689
"ENSMUSG00000070426",1092.37744729524,-0.0300186736926662,0.0227450603439594,-1.31978870307278,0.186905574393393,0.324425249629689
"ENSMUSG00000073755",3503.75660218317,-0.0333764883746441,0.025284629679126,-1.32003073797036,0.186824755583457,0.324425249629689
"ENSMUSG00000042729",845.091838153539,0.0388375559699022,0.0294300887958217,1.31965473292817,0.186950319984412,0.324457724198799
"ENSMUSG00000036027",0.417355289095544,0.882698429315182,0.669117976509051,1.31919700307625,0.187103259957303,0.324694330129189
"ENSMUSG00000034327",484.593608764157,-0.0488994097083227,0.0370736860411499,-1.31897890201818,0.18717616593688,0.324792017388609
"ENSMUSG00000030546",2.61791773979945,0.327864595371172,0.248619768042504,1.31873904457638,0.187256368775441,0.324902347846906
"ENSMUSG00000115423",578.256074573311,0.0662256459891927,0.0502240402023513,1.31860451135296,0.187301364712663,0.324951577810423
"ENSMUSG00000020328",427.32284224366,0.0545500449103698,0.0413812171646172,1.3182320059211,0.187425994409976,0.325138944424583
"ENSMUSG00000033706",1641.05324198991,-0.0220510401448114,0.0167283975873513,-1.31818006056268,0.187443378708947,0.325140249368341
"ENSMUSG00000030868",2601.74517264697,-0.0228961671561225,0.0173726292614367,-1.31794484367124,0.187522112495071,0.325247961775011
"ENSMUSG00000044991",211.299513412806,0.0684014822531279,0.0519104171364518,1.31768315545082,0.187609735675306,0.325371071923044
"ENSMUSG00000024668",1539.43579383245,-0.0458690260064257,0.0348190655272871,-1.31735373456473,0.18772008129601,0.325509238436875
"ENSMUSG00000032357",0.465659056686298,0.618721349346434,0.469680610723755,1.31732359228756,0.187730180401086,0.325509238436875
"ENSMUSG00000032869",1276.77931034002,-0.027801645064478,0.0211056352633242,-1.31726170369246,0.187750917298615,0.325509238436875
"ENSMUSG00000053414",632.64883702338,-0.0676493117329785,0.0513585444415662,-1.31719682612788,0.187772657519701,0.325509238436875
"ENSMUSG00000091712",705.23038659387,0.131398973041333,0.0997544096048028,1.3172247077788,0.187763314258608,0.325509238436875
"ENSMUSG00000038622",436.742232840365,-0.0582161744317161,0.0442157729089102,-1.31663817234742,0.187959937128271,0.325798582115971
"ENSMUSG00000060032",448.210222648597,0.0947538625095487,0.0719686289988643,1.31659952159216,0.187972899262675,0.325798582115971
"ENSMUSG00000079470",485.032886797202,0.118925228114787,0.0903571986529925,1.31616771975753,0.18811775560396,0.325991845075952
"ENSMUSG00000096465",1.46973554777278,0.404187002448048,0.307093200453068,1.31617047154327,0.188116832203096,0.325991845075952
"ENSMUSG00000055485",580.306871050287,0.0798486620478964,0.0606785984873263,1.31592792250424,0.18819823582909,0.32610240313977
"ENSMUSG00000026150",7419.56365435676,-0.0388238658588411,0.0295111497897063,-1.31556601947048,0.188319745021659,0.326255113029814
"ENSMUSG00000073647",69.1686183689967,-0.120900404388807,0.0918992933949071,-1.31557490729855,0.188316760234225,0.326255113029814
"ENSMUSG00000052446",346.94983309751,-0.0552218978043087,0.0419911624512725,-1.31508380765571,0.188481737889335,0.326506822684856
